book,author,publisher,price,detail
 MATLAB智能算法（第2版） MathWorks Fellow Jim Tung作序!中国科学院|北京航空航天大学|哈尔滨工业大学|北京化工大学专家联袂推荐!丛书累计销售超20万册,温正,清华大学出版社,¥96.00,配套资源 1. 微课视频 提供讲解MATLAB基础应用的微课视频，帮助读者快速入门。 2. 程序代码 提供书中实例的程序代码，这些代码均已通过调试，帮助读者快速动手实践。 3. 课件素材 提供大部分章节的课件素材，便于普通高校教师作为授课的讲义素材。 4. 测试题库 提供MATLAB数学建模、科学计算方面的练习题库，便于读者巩固知识。 5. 算法代码 提供MATLAB算法的程序代码，帮助读者深入掌握MATLAB数学建模知识。 关注 人工智能科学与技术 微信公众号，获取相关配套资源（或到清华大学出版社网站本书页面获取下载链接）。
 算法之禅：递推与递归 深受好评的C#视频教程、多套视频课程被微软官方认证的作者、匠意码工刘铁猛老师厚积薄发之作，助力实现Offer自由,刘铁猛,水利水电出版社,¥68.00,本书特色 OFFER自由之书 聚二十年功力，呈禅意才思、匠心代码 探因由，究所以 递推递归双重实现，打通算法任督二脉 文品其思，码鉴其才 高级码工铁猛老师（Timothy）力作
 主数据驱动的数据治理——原理、技术与实践 系统论述主数据治理的方法论、过程和制度！详细介绍主数据治理的技术、平台和工具！ 中国标准化研究院 高新技术与信息标准化研究所所长咸奎桐等五位知名专家联袂推荐！,王兆君,清华大学出版社,¥67.20,主数据是企业数据资产中的黄金部分，是大数据应用的核心推动力。本书涵盖了主数据治理的关键主题： 数据资产，数据治理 治理框架，治理模型 治理方法，治理过程 治理产品，治理案例 模型框架，数据集成 数据质量，数据安全
 Node.js从入门到精通 百万级畅销书作者新书，42万Web全栈程序员的入行选择。配备Web前端开发资源库，在线答疑，学习1小时，训练10小时，从入门到项目上线，打造全新学习生态。,明日科技,清华大学出版社,¥67.30,软件开发视频大讲堂 丛书是清华社计算机专业基础类零售图书畅销品牌之一。 （1）2008 2023年，丛书累计修订7次，销售400万册，深受广大程序员喜爱。 （2）4本荣获 全行业优畅销书 奖，1本荣获清华社 专业畅销书 一等奖，多数品种在全国计算机零售图书排行榜排行中名列前茅。 （3）实用、易懂、资源丰富，被数百所高校选为专业课教材。 《Node.js从入门到精通》，Node.js入门实战经典，本书有以下特点。 1. 学通Node.js只需要4步：基础知识 核心技术 高级应用 项目实战，符合认知规律。 2. 53集同步教学微课 强化实战训练 在线答疑，夯实基础，精准，有效，速练，适合自学。 3. 63个应用实例 1个项目案例，学习1小时，训练10小时，从入门到项目上线，真正成为Node.js高手。 4. 根据图书首页说明，扫描书中二维码，打开明日科技账号注册页面，填写注册信息后将自动获
 泛函分析导论及应用 ,欧文,人民邮电出版社,¥127.30,※ 泛函分析在数学及各应用科学中的作用愈发重要，本书的目的就是使读者熟悉泛函分析的基本概念、原理、方法和应用。 ※ 本书不要求读者具备实变函数与拓扑学的知识，深入浅出、清晰易懂，富有知识性和趣味性，可用于自学。 ※ 本书体系完整、论证严密，各节末尾的习题有助于读者巩固所学的知识，并附有复习资料和习题解答。 读者评论： 我想不出比它更好的泛函分析学习材料了，这本书非常适合学过实分析、线性代数的本科生和低年级研究生阅读。 重基础，几乎没有啰唆的地方，一气呵成。看这本书能把泛函的精髓把握住，完整却不拖泥带水，把框架理顺了，遇到实际问题就可以知道要去哪里找答案。 读起来很轻松，完全不用在大脑内载入过多无用信息。简洁、门槛低、有答案、可自学，推荐给广大工科学生。
 可视化指南：数据分析与数据交互 全面、专业的数据可视化宝典，利用可视化、交互和自动计算，从海量而复杂的数据中生成洞察力；图灵奖获得者理查德·汉明、中国可视化专委会委员黄鑫等大咖诚挚推荐。,克里斯蒂安·多明斯基,中国科学技术出版社,¥116.10,1、通过将可视化技术、交互技术和自动化计算融为一让我们能够从大型的复杂数据当中获得见解和知识 2、为可视化技术、交互技术和自动分析提供系统性自上而下的观察视角，广泛覆盖了基础可视化技术和高级可视化技术 3、图灵奖获得者理查德 汉明、中国可视化专委会委员黄鑫、中国联通研究院主任研究员丁伟等大咖诚挚推荐。
 中文版Cinema 4D R21从入门到精通（微课视频全彩版）c4d r21 c4d教程入门到精通 c4d完全自学教程 畅销70册唯美系列作者全新力作！157集视频+121个实例+配套源文件+实例素材+海量配套资源，三维建模+渲染+电商广告+影视动画+CG游戏+特效，Adobe专家手把手教学C4D,唯美世界,水利水电出版社,¥99.80,本书系统讲述了Cinema 4D三维绘图的基本操作和建模、材质、灯光、渲染、动画、角色、粒子等核心技术，以及Cinema 4D 在电商广告设计、CG设计等领域中的综合案例应用，是一本 Cinema 4D 的完全自学教程，也是一本视频教程。 本书显著特色 配套视频讲解，手把手教你学习 本书配备了157集同步教学视频，涵盖全书所有实例和重要知识点，如同老师在身边手 把手教你，可以让学习更轻松、更高效。 二维码扫一扫，随时随地看视频 本书重要知识点和实例均录制了视频，并在书中的相应位置处设置了二维码。通过扫码， 读者可以随时随地在手机上看视频（若个别手机不能播放，可下载后在计算机上观看）。 内容非常全面，注重学习规律 本书涵盖了Cinema 4D常用工具、命令常用的相关功能；同时采用 知识点 实例 综合 案例 技巧提示 的模式编写，符合轻松易学的学习
 CSS速查手册（第五版） ,迈耶,中国电力出版社,¥52.20,当你在编写和调试CSS时遇到问题，立马就想找到解决方法吧，这本简洁又不失全面的快速指南，可提供你所需的必要信息。本书针对CSS3作了修订和更新，是中高级Web设计师和开发者理想的参考资料。这本速查手册先简要介绍 CSS 的核心概念，接着给出所有 CSS3 选择器的指南，*后附上CSS3属性参考，选择器和属性按英文字母顺序排列，方便查阅。
 uni-app多端跨平台开发从入门到企业级实战 大量讲解视频 完整实战教程 前端框架 h5网页 Android iOS 程序思维之前端框架实战系列 开发者终极跨平台解决方案 uni-app在手，快速交付不愁 前端 小程序 H5网页 Android iOS 快应用开发 企业级点餐应用实战 面试参考手册 微信 支付宝 京东,李杰,水利水电出版社,¥81.00,本书是程序思维之前端框架实战系列之一，详细介绍了如何使用uni-app平台快速开发安卓Android应用、苹果iOS应用、H5网页应用、小程序（包括360、百度、微信、支付宝、钉钉）、快应用等，及其特殊技巧，它是一本uni-app开发基础教程，也是一本uni-app开发视频教程。 本书系统完整、内容全面、实例丰富、由浅入深、讲解详尽，从基础知识到案例，逐层深入，逐步拓展，以便零基础的读者能够轻松学习并熟练使用该软件。 为了让读者朋友高效学习，本书专门提供了98集同步微视频（约1747分钟），并附带了几乎所有的源代码文件，还给出了详尽的代码注释，读者可以对照代码讲解和视频讲解，操作源文件，短期内快速开发并交付应用。 为了增强读者的实战能力，本书附赠了一套价值5000元的企业级仿美团点餐小程序项目实战的视频文件和源代码，读者可以边学边练。
 中文版Premiere Pro视频编辑剪辑设计实战案例解析 9大行业的实际应用、34个精美实用案例、290多个素材文件和效果文件、140多分钟的视频教学，以“设计思路+配色方案+版面构图+操作思路+操作步骤”方式编排。,孙燕飞,清华大学出版社,¥59.80,◎ 涵盖行业多 本书涵盖了视频编辑剪辑、自媒体设计、广告设计、电子相册设计、短视频制作、影视特效设计、影视栏目包装设计、宣传视频设计、Vlog设计9大主流应用行业，一书在手，数技在身。 ◎ 学习易上手 本书案例虽然为中大型实用案例，但写作方式是由浅入深，而且步骤详细，即使是零基础的读者，也能轻松学会，从入门到精通。 ◎ 理论结合实际 本书每章安排了行业的基础理论概述，每个案例均配有 设计思路 配色方案 版面构图 等板块，让读者不仅学会软件操作，还能懂得设计思路，融会贯通，更快提高设计能力。
 因果推理：基础与学习算法 事物为什么会发生、为什么会得到某种结果？根源就在于因果关系。本书是作者十年来研究因果关系的总结,Jonas,机械工业出版社,¥66.70,1.世上万事万物，有因就有果，有果必有因。事物为什么会发生，为什么会得到某种结果？根源就在于因果关系。 2.本书是世界知名学者十年来研究因果关系的总结，在因果推理和通用机器学习之间建立了牢固的联系，使得我们和机器可以用数据更清晰地理解世界。 3.哥伦比亚大学David Blei教授、艾伦?图灵研究所Ricardo Silva研究员倾情推荐。 4.本书提供了一个独立且简明的因果关系模型介绍，以及如何从数据中学习因果模型。
 AI智能办公：从训练ChatGPT开始 ,凌祯,电子工业出版社,¥43.90,这是一本教你如何训练ChatGPT高效完成日常办公任务的实战图书。结合大量职场案例，通过训练ChatGPT 来实现数据的自动化收集、处理和展示。 通过本书你可以学到： 1.AIGC的核心能力和职场应用：随时向AI提问，解决学习和工作问题。 2.用AI高效处理数据，解放双手：AI自动写代码，自动化批量处理数据。 3.AI智能生成PPT，搞定职场汇报：让你享受极致的视觉体验和效率提升。 4.用AI写作，完成各类办公文本：AI收集整理信息，快速创作爆款内容。 5.用AI十倍提升视频制作效率：从脚本到剪辑，AI自动批量生成视频。
 C语言入门经典（第6版） C语言入门从Beginning C开始！著名作家lvor Horton和编程专家German Gonzalez -Morris联袂奉献。,智利,清华大学出版社,¥105.00,目前市面上关于 C 语言学习的图书很多，本书以深入浅出的方法介绍 C 语言中抽象的语法和算法，非常适合初学者编程入门学习。同时，本书知识结构清晰，内容详细，也可作为有经验的程序员的枕边书，随时可以查阅解惑。在 IT 领域，我想大多数程序员精英都读过 Ivor Horton 的图书，本书作者 Ivor Horton 是世界著名的计算机图书作家，帮助无数程序员步入编程的殿堂。时间推移、日月更替，作为 C 语言入门的经典图书，《C 语言入门经典》已历经多次版本迭代，译者翻译的是《C 语言入门经典》的第 6 版。 技的进步使人们的生活变得更加丰富多彩，但是编程的学习却是比较枯燥的，因此也有很多编程初学者 无疾而终 。此处译者想给编程初学者几个小小的建议，希望对读者的编程学习生涯有所帮助。 1. 兴趣是好的老师，但大部分学习者对编程的学习
 前端工程化：基于Vue.js 3.0的设计与实践 这是一本从0到1详细介绍前端工程化开发的指导手册 前端开发领域多位大咖鼎力推荐,程沛权,机械工业出版社,¥89.20,本书作者为前端领域资深工程师，以工程化的视角阐述前端开发过程，内容翔实丰富，具有很强的指导意义。
 Python程序设计基础 ,赵广辉,高等教育出版社,¥24.60,
 对比Excel，轻松学习Python数据分析 集Python Excel 数据分析为一体 数据分析师快速上手 一本书学会Python数据分析 Excel数据分析 对比Excel学习Python代码 低门槛高效率 Python编程从入门到实践,张俊红,电子工业出版社,¥32.40,Python虽然是一门编程语言，但是在数据分析领域实现的功能和Excel的基本功能一样，而Excel又是大家比较熟悉、容易上手的软件，可以通过Excel数据分析去对比学习Python数据分析。本书将数据分析过程中涉及的每一个操作都对照讲解，让你从熟悉的Excel操作中去学习对应的Python实现，而不是直接学习Python代码，大大降低了学习门槛，消除了大家对代码的恐惧心理。这也是本书的一大特色，让读者可以像学Excel数据分析一样，轻松学习Python数据分析。
 机器人控制系统的设计与MATLAB仿真：先进设计方法（第2版） 一线知名专家执笔，理论实践并重，英文版由Springer出版全球发行,刘金琨,清华大学出版社,¥96.70,
 Easy C（ 第4版）日系简洁系列书籍 c语言程序设计教材 C++ 数据结构与算法分析 wpf c++ primer 人人都能看懂的C语言入门书 1080分钟配套视频讲解 全部源代码免费赠送 PPT教学课件 图解说明抽象知识点 实例提升编程能力 精巧设置的特色段落,高田美树,水利水电出版社,¥92.00,本书读者对象：任何对编程感兴趣的初学者，C语言初学者，自学C语言的读者，非计算机专业的程序爱好者。 《Easy C（第4版）》是一本完全从零开始的C语言入门书，写作时充分考虑到没有任何编程经验读者的特点，用大量直观清晰的插图、注释详细的示例程序、丰富的技巧提示等，用通俗易懂的文字极其细致地介绍了零基础读者初学C语言需要掌握的内容，并对编程时如何进行思考也进行了图解说明，有助于培养读者的编程思维，为后续的软件开发打下坚实的基础。 选择C语言，学习编程之本。 视频讲解：为帮助读者顺利学习，特别录制了18小时（1080分钟）的讲解视频，手把手教你学C语言。 PPT：为了读者更好地自学和教师教学，特别制作了PPT课件。 源代码：提供完整的程序源代码，方便读者从整体上了解程序；同时，本书也提供了省略部分代码（未完成）的程
 UVM实战 ,张强,机械工业出版社,¥57.00,UVM的学习资料非常匮乏，能够参考的资料，一是《OVM Cookbook》(这本英文资料从来没有在国内出版过)，另一个是OVM/UVM官方的英文参考文档。它们所采用的行文方式更是硬生生地不断引入某些概念，并附加一定的代码来阐述这些概念。在这些前后引入的概念之间。几乎没有什么逻辑关系。有时候看完了一整章都不知道该章介绍的东西有什么用处。*关键的是。整本书看完了也不知道如何搭建一个验证平台。这本《UVM实战》的作者张强围绕如何搭建一个基于UVM的验证平台，用丰富的案例和深入浅出的语言，引导读者深入理解UVM验证方法学的使用方法和设计理念。
 硅基物语 AI写作高手：从零开始用ChatGPT学会写作 看清AI写作逻辑 讲透AI写作之道 看清AI写作逻辑，讲透AI写作之道；掌握写作黑科技，用AI引爆你的创作天赋；从0到1，教你巧用AI学会写作；突破写作困境，完成从写作小白到写作大神的蜕变,无戒,北京大学出版社,¥44.20,覆盖常用写作场景：写小说、写故事、写文案、写策划、写新媒体文章、写广告卖点 提高写作效率：输入有效提问关键词，一键生成所需内容，稍加修改便成一篇完整文章，将写作效率成百倍提升。 扩大素材积累：作为天生的超大型素材库，只有你想不到的素材，没有AI无法提供的素材，极大充实素材库，让写作不再无内容可写。 快速进行文本精修：文稿写完只完成了第一步，修改校对仍是重中之重。AI自带语句精修功能，可对文稿的内容、结构、标点符号等进行全方位的修订，让稿件修改更轻松、更精细。
 “编”玩边学：Scratch趣味编程进阶——妙趣横生的数学和算法 《“编”玩边学：Scratch趣味编程进阶——妙趣横生的数学和算法》 一本Scratch 2.0进阶教材，一本适合中小学信息学竞赛的教材，让编程课程升级、知识衔接顺畅,谢声涛,清华大学出版社,¥39.20,1、案例精彩、数量众多、涵盖面广。2、案例选择考究，富于趣味性、知识性、故事性。3、案例编程脚本以简短居多，易于理解消化。4、首创扑克牌学算法游戏，不用编程也能学算法。目前学校或培训机构的少儿编程课程多以趣味小游戏教学为主，有着对编程课程升级的需求，升级方向则是数学和算法等方面；而家长也希望学生能在受过游戏编程入门教育后，逐渐过渡到对升学有帮助的中小学信息学竞赛领域。本书正起到了编程课程升级、知识衔接的作用。如果你不再满足用Scratch编写小游戏、小动画，那么本书将带领你走进妙趣横生的数学和算法编程的新世界 带你求解古代 应用题 ，感受古算题的那份诗意；带你探索 数字黑洞 ，感受它 吞噬 一切数字的那份神秘；带你用简单图形创造出美丽的雪花和树，感受分形图的那份神奇；带你一笔画出美丽的玫瑰曲线和蝴
 C Primer Plus 第6版 英文版 上下册 C语言自学教程，详细讨论C语言的基础特性和附加特性，数百个代码示例，章末附有习题及答案，零基础学编程参考教程书。,史蒂芬·普拉达,人民邮电出版社,¥97.40,经久不衰的C语言教程 针对C11标准进行更新 C语言领域的作品 本书是一本经过仔细测试、精心设计的完整C语言教程，它涵盖了C语言编程中的核心内容。本书讲解了包含结构化代码和自顶向下设计在内的程序设计原则。 与以前的版本一样，作者的目标仍旧是为读者提供一本入门型、条理清晰、见解深刻的C语言教程。作者把基础的编程概念与C语言的细节很好地融合在一起，并通过大量短小精悍的示例同时演示一两个概念，通过学以致用的方式鼓励读者掌握新的主题。 每章末尾的复习题和编程练习题进一步强化了重要的信息，有助于读者消化那些难以理解的概念。本书采用了友好、易于使用的编排方式，不仅适合打算认真学习C语言编程的学生阅读，也适合那些精通其他编程语言，但希望更好地掌握C语言这门核心语言的开发人员阅读。 本书在之前版本的基础之
 百度之星题集（2005-2021年） 本书汇集2005-2021年初赛、复赛、决赛试题的解析，提供具有参考价值的解题思路，有助于编程爱好者提升程序设计、算法设计能力，是难得的教学辅助读物。,李轩涯,清华大学出版社,¥126.00,本书提供了具有参考价值的解题思路，有助于编程爱好者提升程序设计、算法设计能力，是难得的教学辅助读物。
 机器学习·深度学习图像识别从基础到案例实战 chatgpt聊天机器人 人工智能丛书 Python图像识别开发基础入门 人 用大量图形辅助理解抽象知识点 用案例实践提升动手能力，掌握Python、TensorFlow、PyTorch、Keras、scikit-learn、Chainer等不同深度学习框架及树莓派的特点和使用,川岛贤,水利水电出版社,¥108.00,本书适合读者对象：1. 有一定编程基础，想从事图像识别开发相关工作的读者；2. 对人工智能、机器学习、深度学习感兴趣的所有读者；3. 想通过动手实践提升图像识别编程能力的读者。 本书介绍的图像识别是人工智能的一个重要应用领域，是人脸识别和自动驾驶领域中重要的人工智能技术。 1、 作者专业，技术和经验丰富 本书作者为日本东京大学应用信息学硕士，并多年从事人工智能开发工作，专业知识雄厚，实战经验丰富。 2、 案例较多、注重实践 本书先对人工智能、机器学习、深度学习相关的术语、概念进行了详细解说，然后通过不同的深度学习框架（TensorFlow、PyTorch、Keras等）编程实现16个不同难易程度的图像识别相关案例，用实操练习让读者了解不同工具的使用方法及各自特点，选择合适的工具更好地为实现目标服务。 3、 通俗易懂，避免用复杂的数学
 ZEMAX光学设计超级学习手册 ,林晓阳,人民邮电出版社,¥59.80,内容详细，结构清晰； 讲解细致，循序渐进。 工程应用实例丰富；所有实例均经过精心设计与筛选，代表性强。
 并行程序设计导论（涵盖并行软件和硬件的方方面面，手把手教你如何利用MPI、PThread 和OpenMP开发高效的并行程 ,帕切克,机械工业出版社,¥35.30,
 Kubernetes即学即用（第二版） 本书由三位权Q威的云原生系统专家撰写而成，为学习Kubernetes概念打下坚实的基础。,布兰登·柏恩思,中国电力出版社,¥76.40,Kubernetes的时代已然到来。在短短几年内，这款容器编排器从根本上改变了开发人员和运维人员在云中构建、部署，以及维护应用程序的方式。无论你是分布式系统的新手，还是多年来一直在部署云原生应用程序的老手，Kubernetes都可以帮助你在速度、敏捷性、可靠性，以及效率等方面更上一层楼。 本书作者长期致力于Kubernetes的概念抽象以及构建实践，他们将通过本书向你展示怎样将Kubernetes完美地融入分布式应用程序的生命周期。你将学习如何使用各种工具以及API来实现可扩展分布式系统的自动化，无论你的系统是在线服务、机器学习应用程序，还是树莓派计算机集群。
 Wireshark数据包分析实战 第3版 Wireshark实用指南 Wireshark网络分析学习手册 畅销图书升级 信息安全从业人员入门书籍,克里斯·桑德斯,人民邮电出版社,¥59.20,借助 Wireshark 这款世界流行的网络嗅探器，不管是有线网络还是无线网络，读者都可以很容易地捕获到网络中的数据包。但是，如何使用这些数据包来理解网络状况呢？本书内容针对 Wireshark 2.x 版本进行了更新，以帮助读者掌握数据包捕获的方法，从而更好地解决网络问题。本书新增了 IPv6 和 SMTP 的相关知识，并讨论了 TShark 和 Tcpdump 两种命令行包分析工具的使用方法。此外，本书还介绍了使用数据包结构图查看和表示数据包的内容。您将学到： 实时监控网络，并参与实时网络通信； 构建自定义的捕获过滤器和显示过滤器； 使用包分析来解决常见的网络问题，如连接丢失、DNS问题和网络性能缓慢等； 在数据包级别探索现代漏洞和恶意软件； 从捕获的数据包中提取通过网络发送的文件； 绘制流量模式使网络中传输的数据可视化； 使用Wireshark高 级特性来理解令人困
 Python编程500例——快速构建可执行高质量代码 中国产业发展研究院|中关村智能硬件产业联盟|中关村大数据产业联盟|北京两化联盟|北京企业转型升级服务联盟联袂推荐!500个经典实例|10万行源代码,李永华,清华大学出版社,¥101.20,本书融合了同类图书的优点，采取了创新方式，精选了趣味性、实用性性强的500个应用案例，从不同难度、不同算法、不同类型和不同数据结构进行总结，满足不同层次开发人员的需求。
 低代码打造RPA——Power Automate Desktop基础实战 微软MVP详述如何用Power Automate Desktop入门RPA技能，彩色印刷，搭配51节实操视频课程+学习资料+思维导图，手把手帮你打造办公流程自动化，告别繁杂的、重复的、事务性工作！,雷元,人民邮电出版社,¥59.80,（1）为什么要学习RPA呢？ 如果你目前的身份是一名白领，经常从事一些重复的业务流程工作，并对此感到不满甚至厌倦，那么这便是你应该学习RPA的重要原因之一。将重复的工作交给自动化机器人，并将精力放在更有价值的劳动中。 （2）为什么要通过Power Automate Desktop（PAD）学习RPA呢？ 因为PAD：允许用户免费使用大部分RPA功能；支持用户以无代码或低代码方式编写自动化脚本；与目前的Office环境高度集成。 （3）本书从RPA基础入门，完整地诠释了Power Automate Desktop的功能及特性，帮助读者真正掌握RPA技术。 （4）潘淳、金立钢、梁迪、陈怡帆、杨志明、刘钰6位业界实践者联袂推荐！ （5）彩色印刷，随书附赠51节实操视频课程 学习资料 思维导图。
 数字资产：企业数字化转型之道 从业务视角出发，用架构思维，构建数字资产体系的基本概念、具体方法和应用，助力业务人员成为数字资产的主人,陈璐璐,电子工业出版社,¥59.90,★ 资产的数字化建设是企业数字化转型的关键 ★ 从业务视角进行规划，用架构思维助力企业战略目标落地 ★ 用业务人员能明白的方法和思路、审视、规划、构建数字资产体系 ★ 详述数字资产建设方法及工具，助力企业数字化转型成功 ★ 用架构的思维方式分析、解决问题，同样适用于其他工作和生活 ★ 梳理数字资产的五大特征及数字化转型对数字资产的六大基本要求 ★ 助你高质量地规划、建设数字资产，用好、管好数字资产 ★ 作者二十多年理论研究与实践操作的思考与总结 ★ 源于实践，又高于实践，助力业务人员成为数字资产的主人 ★ 介绍数字资产建设三大方法、三大标准 ★ 四步走完成高阶数字资产业务规划 ★ 三步走完成详细数字资产业务设计 ★ 六步完成数字资产的迭代提升 ★ 数字资产IT设计的五个方面 ★ 推进数字资产规划落
 手机短视频制作从新手到高手 全彩印刷 超值附送28个视频，长达120分钟,郝倩,清华大学出版社,¥66.40,零基础短视频制作实战类图书 短视频制作初学者从入门到精通* 涵盖短视频制作各项功能和应用技巧 囊括短视频制作目前流行的各个应用领域
 Excel财务管理从入门到精通（微课视频版）excel高效办公数据处理与分析 wps office excel书籍教程教 手机扫码看230集微视频讲解，226个行业应用案例，财务人员案头手册！Excel函数公式大全、Excel高效办公。附赠2000个常用模板+1100集Word/Excel/PPT赠送视频。,精英资讯,水利水电出版社,¥79.80,视频讲解 手机扫码看视频 实例引导 数据源文件 办公模板 在线交流 ，帮你解决常见财务问题。 视频讲解 ：310集同步视频讲解，手机、电脑均可观看，体验好。 实例丰富 ：278个Excel函数与公式应用案例，用案例引导学习更高效。 全程图解 ：全书实例一步一图，图文对应，简洁明了，好学好用。 编写科学 ：采用 视频讲解 函数语法 公式解析 实例引导 的形式讲解，入门快。 超值赠送 ：2000个办公常用模板，稍微改改就能用，节约时间，超方便。 1100集Word/Excel/PPT技巧范例教学视频，技多不压身。 在线服务： 建有QQ群、公众号，读者可在群里交流，作者也会不定时答疑解惑。
 剑指Offer（专项突破版）：数据结构与算法名企面试题精讲 百万程序员人手一册|面试皇冠书再续新篇|享誉全球多语种发行|作者为世界名企级面霸并长任面试官|直指难点一通百通|全新题型考点互补可与第2版搭配阅读|首创数据结构与算法面经|代码基于Java语言,何海涛,电子工业出版社,¥48.90,本书紧跟趋势、视角独特、切中要害、直指瓶颈，来自作者潜心筛选2020-2021中国与北美代表性名企的精华真题，且与经典版《剑指Offer（第2版）》考点题型互补，搭配使用效果更佳。 本书代码语言从经典版C/C 过渡到Java语言 以面试者|面试官双向视角剖析考点与解题思路 精选 119 道国内外名企高频面试题并深度拓展 针对面试难关，打通算法与数据结构突击捷径 读者可在力扣本书专区实时在线练习全部试题
 数据挖掘导论(完整版) ,Pang,人民邮电出版社,¥59.80,《数据挖掘导论（完整版）》介绍了数据挖掘，涵盖了五个主题：数据、分类、关联分析、聚类和异常检测。除异常检测外，每个主题具有两章。前一章涵盖基本概念、代表性算法和评估技术，而后一章讨论概念和算法。这样读者在透彻地理解数据挖掘的基础的同时，还能够了解更多重要的主题。《数据挖掘导论（完整版）》是明尼苏达大学和密歇根州立大学数据挖掘课程的教材，由于独具特色，正式出版之前已经被斯坦福大学、得克萨斯大学奥斯汀分校等众多名校采用。《数据挖掘导论（完整版）》特色与许多其他同类图书不同，《数据挖掘导论（完整版）》将重点放在如何用数据挖掘知识解决各种实际问题。 只要求具备很少的预备知识 不需要数据库背景，只需要很少的统计学或数学背景知识。 书中包含大量的图表、综合示例和丰富的习题，并
 After Effects 2022完全自学教程 集学习性、实用性、工具性于一体的After Effects学习手册，370多分钟教学视频，75个实战+24个综合实战，全面学习After Effects的功能与技术。,宿瑞平,人民邮电出版社,¥119.90,系列教程累计发行百万册，面对零基础读者开发，全面介绍After Effects的基本功能及实际运用； 书中有75个实战 24个综合实战，帮助读者通过实战掌握并练习After Effects的功能与技术； 技术覆盖全面，包括基本操作、图层与蒙版、绘画与形状、常用效果、文字动画、色彩修正、抠像技术、特效制作等； 100个在线视频，370多分钟，学习直观有效，18个PPT教学课件，可供教师教学参考使用。
 嵌入式实时操作系统——基于STM32Cube、FreeRTOS和Tracealyzer的应用开发（原书第2版） STM32教育联盟推荐教材，何小庆老师团队翻译，基于STM32Cube和FreeRTOS，配套资料齐全,吉姆·考林,清华大学出版社,¥74.20,物联网时代，32位MCU性能大幅提高，价格逐渐走低，成为智能产品开发和设计的选择。本书基于STM32F4、STM32Cube软件工具，以及集成在Cube软件中的FreeRTOS嵌入式实时多任务操作系统进行撰写，部分章节使用了Tracealyzer RTOS分析软件，这套组合是目前物联网和嵌入式开发的主流平台，无论对于有实际项目需求的开发者还是在高校学习并准备参加电子大赛的学生都具备实际应用价值。 国内出版的FreeRTOS的图书很少，内容多为内核详述以及面向产品和外设应用的开发指南，很少有课程和图书详细讲解 C/OS和FreeRTOS内核机制并分析内核行为，作者更是进一步将数十年实时系统设计经验，落地在实战性的STM32F4、SMT32Cube和FreeRTOS软件上，这是本书的亮点。
 深入浅出算法竞赛（图解版）算法竞赛进阶指南 算法竞赛入门经典 算法竞赛 习题 算法竞赛入门到进阶经典训练指南 ICPC 趣味数学应用+经典算法+大量竞赛试题解析，大量浅显易懂的图示剖析解题思路、演绎算法思维,段忠杰,水利水电出版社,¥69.80,算法竞赛是一个强化思维、锻炼代码能力的良好契机。如果你对算法有兴趣，一定不要错过这样的机会！ 本书意在帮助读者理解基本的算法思想，编写高效的程序来解决算法问题，提升读者在算法竞技中的核心技能，增强未来职业的竞争力。 本书避开了繁琐枯燥的理论，用浅显易懂的语言，大量生动的插图，剖析各种典型算法的底层逻辑，讲解大量有趣的算法应用，用大量的图解帮助理解。这是一本入门算法的优秀图书，推荐给各类参加算法竞赛的初学者和对算法感兴趣的广大编程爱好者。
 UiPath RPA开发：入门、实战与进阶 RPA之家官方出品，创始人、合伙人、CEO、CTO执笔。初学者的UiPath实战宝典，全面、详细讲解UiPath的功能组件、企业级框架和大型项目实践。百余个RPA项目实例，提供答案、讲解和答疑群。,邵京京,机械工业出版社,¥102.00,读者对象： 本书面向零开发基础、对RPA有浓厚兴趣的读者，不局限于专业和业务，所有对RPA感兴趣的读者都可以学习。 配套项目实战答案、课堂案例、读者交流群 获取方式： 1、微信关注 华章计算机 2、在后台回复关键词：RPA （1）作者资深：RPA之家官方出品，RPA之家是中国具有影响力的RPA垂直交流社区。本书作者包含RPA之家的创始人、合伙人、CEO、CTO、金牌讲师，长期从事RPA相关工作。 （2）内容全面：本书面向初学者，详细阐述UiPath RPA核心概念、功能和实现，并由浅入深地介绍了如何使用UiPath 设计并实现RPA自动化流程，一步步引导读者构建自己的RPA框架，深入理解并熟练使用UiPath工具。 （3）实操性强：本书提供了100余个项目实战案例，帮助读者从零基础开始学习，在大量的实战案例中实现UiPath的进阶。
 GPT时代人类再腾飞 浙江科学技术出版社 新华书店正版，关注店铺成为会员可享店铺专属优惠，团购客户请咨询在线客服！,,,¥44.90,?《GPT时代人类再腾飞》注定是一部发人深省的前瞻性之作与未来之书。它不仅展示了以ChatGPT、GPT-4为代表的AI大语言模型将如何颠覆教育、商业、创造力等诸多领域与行业，如何帮助我们放大人性的特质，释放全部的潜能，同时也对其缺陷和带来的挑战进行了深入的剖析，从中，我们将找到应对之法与破解之道。未来已来，这将是每一位生活在智能时代的人都要参阅的一部推荐阅读之书，是你开启与AI共生、协同进化历程的可靠指南与行动路线图。AI时代的悖论在于，随着当前不完备的大语言模型的改进，世界对我们的要求会越来越少，我们需要对自己有更多的要求。我们要坚持将ChatGPT、GPT-4及其后继者视为我们的协作伙伴，而非替代品。我们要继续探索如何在与这些新型AI工具的协作过程中，即使它们本身的能力越来越强大，也要将人类的创造力、判断力和价值观
